MMM,Industrial Conglomerates
ABT,Health Care Equipment
ABBV,Pharmaceuticals
ABMD,Health Care Equipment
ACN,IT Consulting & Other Services
ATVI,Interactive Home Entertainment
ADBE,Application Software
AMD,Semiconductors
AAP,Automotive Retail
AES,Independent Power Producers & Energy Traders
AFL,Life & Health Insurance
A,Health Care Equipment
APD,Industrial Gases
AKAM,Internet Services & Infrastructure
ALK,Airlines
ALB,Specialty Chemicals
ARE,Office REITs
ALXN,Biotechnology
ALGN,Health Care Supplies
ALLE,Building Products
ADS,Data Processing & Outsourced Services
LNT,Electric Utilities
ALL,Property & Casualty Insurance
GOOGL,Interactive Media & Services
GOOG,Interactive Media & Services
MO,Tobacco
AMZN,Internet & Direct Marketing Retail
AMCR,Paper Packaging
AEE,Multi-Utilities
AAL,Airlines
AEP,Electric Utilities
AXP,Consumer Finance
AIG,Property & Casualty Insurance
AMT,Specialized REITs
AWK,Water Utilities
AMP,Asset Management & Custody Banks
ABC,Health Care Distributors
AME,Electrical Components & Equipment
AMGN,Biotechnology
APH,Electronic Components
ADI,Semiconductors
ANSS,Application Software
ANTM,Managed Health Care
AON,Insurance Brokers
AOS,Building Products
APA,Oil & Gas Exploration & Production
AIV,Residential REITs
AAPL,"Technology Hardware, Storage & Peripherals"
AMAT,Semiconductor Equipment
APTV,Auto Parts & Equipment
ADM,Agricultural Products
ANET,Communications Equipment
AJG,Insurance Brokers
AIZ,Multi-line Insurance
T,Integrated Telecommunication Services
ATO,Gas Utilities
ADSK,Application Software
ADP,Internet Services & Infrastructure
AZO,Specialty Stores
AVB,Residential REITs
AVY,Paper Packaging
BKR,Oil & Gas Equipment & Services
BLL,Metal & Glass Containers
BAC,Diversified Banks
BK,Asset Management & Custody Banks
BAX,Health Care Equipment
BDX,Health Care Equipment
BRK.B,Multi-Sector Holdings
BBY,Computer & Electronics Retail
BIIB,Biotechnology
BLK,Asset Management & Custody Banks
BA,Aerospace & Defense
BKNG,Internet & Direct Marketing Retail
BWA,Auto Parts & Equipment
BXP,Office REITs
BSX,Health Care Equipment
BMY,Health Care Distributors
AVGO,Semiconductors
BR,Data Processing & Outsourced Services
BF.B,Distillers & Vintners
CHRW,Air Freight & Logistics
COG,Oil & Gas Exploration & Production
CDNS,Application Software
CPB,Packaged Foods & Meats
COF,Consumer Finance
